feature_id,geometry_type,geometry_longitude,geometry_latitude,ag_geom,x,y,long,lat,org_nam,str_use,str_nam,str_adr,stt_cde,alt_val,int_len,int_grd,sht_grd,lnd_siz,pad_siz,hor_rad,com_dat,use_dat,use_typ
LT_P_AISHCSTRIP.7,Point,128.591491699,35.242126465,POINT(128.591491699 35.242126465),128.591491698999903,35.242126464999956,"128° 35' 29.370"" E","35° 14' 31.655"" N",부항청,사용,삼성창원병원 옥상헬기장,경남 마산시 회원구 합성2동 50번지,옥상,63.18,1000,8:1,2:1 1:1,21×18,21×18,200,1999-12-09,2000-02-12,주간시계비행
LT_P_AISHCSTRIP.70,Point,127.078388889,37.7583611109999,POINT(127.078388889 37.7583611109999),127.078388888999939,37.758361110999942,"127° 4' 42.200"" E","37° 45' 30.100"" N",서항청,사용,의정부성모병원 옥상헬기장,경기도 의정부시 천보로 271,사설,114.09m,"1,000m",1:8,1:2,27.16m×27.16m,15m×15m,200m,14.11.26.,18.3.20.,"주,야간 시계비행"
LT_P_AISHCSTRIP.71,Point,127.322038889,36.636261111,POINT(127.322038889 36.636261111),127.322038888999941,36.636261110999953,"127° 19' 19.340"" E","36° 38' 10.540"" N",서항청,사용,베스티안 오송병원 옥상헬기장,충북 청주시 흥덕구 오송읍 연제리 682-1번지,사설,83.8m,"1,000m",1:8,1:2,27.2m×27.2m,15m×15m,200m,17.2.14.,18.5.18.,"주,야간 시계비행"
LT_P_AISHCSTRIP.72,Point,128.146927778,37.4967027779999,POINT(128.146927778 37.4967027779999),128.146927777999963,37.496702777999928,"128° 8' 48.940"" E","37° 29' 48.130"" N",서항청,사용,강원도 소방본부 헬기장,강원도 횡성군 우천면 경강로 3829,사설,553.5m,"1,000m",1:8,1:2,37m×37m,20m×20m,200m,17.3.29.,17.12.18,"주,야간 시계비행"
LT_P_AISHCSTRIP.73,Point,126.836194444,37.557105556,POINT(126.836194444 37.557105556),126.836194443999943,37.557105555999954,"126° 50' 10.300"" E","37° 33' 25.580"" N",서항청,사용,이화여자대학교 제2부속병원 옥상헬기장,서울특별시 강서구 내발산동 157 일원 E1블록,사설,57.76m,"1,000m",1:8,1:2,27.2m×27.2m,15m×15m,200m,17.4.12.,18.9.21,"주,야간 시계비행"
LT_P_AISHCSTRIP.74,Point,127.139130556,37.4450805559999,POINT(127.139130556 37.4450805559999),127.139130555999941,37.445080555999937,"127° 8' 20.870"" E","37° 26' 42.290"" N",서항청,사용,성남시의료원 옥상헬기장,경기도 성남시 수정구 수정로 171번길 55,사설,103.3m,"1,000m",1:8,1:2,27.2m×27.2m,15m×15m,200m,18.9.6.,20.3.24,"주,야간 시계비행"
LT_P_AISHCSTRIP.75,Point,127.147930556,37.391938889,POINT(127.147930556 37.391938889),127.147930555999892,37.391938888999960,"127° 8' 52.550"" E","37° 23' 30.980"" N",서항청,사용,국군수도병원 옥상헬기장,경기도 성남시 분당구 새마을로 177번지 81,사설,170.35m,"1,000m",1:8,1:2,30.3m×30.3m,23.4m×23.4m,200m,17.11.20.,20.3.11,"주,야간 시계비행"
LT_P_AISHCSTRIP.76,Point,126.481708333,37.462338889,POINT(126.481708333 37.462338889),126.481708332999915,37.462338888999966,"126° 28' 54.150"" E","37° 27' 44.420"" N",서항청,사용,인천국제공항 육상헬기장,인천시 중구 운서동 2844-1번지 일원,사설,5.0m,"1,000m",1:8,1:2,46.0m×46.0m,25.1m×25.1m,200m,19.11.14,20.9.29,주간 시계비행
LT_P_AISHCSTRIP.77,Point,127.2577,36.519663889,POINT(127.2577 36.519663889),127.257699999999886,36.519663888999958,"127° 15' 27.720"" E","36° 31' 10.790"" N",서항청,사용,충남대학교병원(세종) 옥상헬기장,세종특별자치시 도담동 407,사설,101.6m,1000,1:8,1:2,26.5m*26.5m,15m×15m,200m,20.7.3,20.11.24,"주,야간 시계비행"
LT_P_AISHCSTRIP.78,Point,127.050708333,37.7521166669999,POINT(127.050708333 37.7521166669999),127.050708332999989,37.752116666999939,"127° 3' 2.550"" E","37° 45' 7.620"" N",서항청,사용,을지병원 옥상헬기장,경기도 의정부시 금오동 439-39,사설,128.4m,1000,1:8,1:2,27.2m×27.2m,15m×15m,200m,19.9.9,20.12.10,"주,야간 시계비행"
LT_P_AISHCSTRIP.79,Point,127.8106,37.0121,POINT(127.8106 37.0121),127.810599999999909,37.012099999999975,"127° 48' 38.160"" E","37° 0' 43.560"" N",서항청,사용,충청강원 119특수구조대 육상헬기장,충청북도 충주시 주덕읍 화곡리 1107,공용,135.45m,1000,1:8,1:2,43.5m×43.5m,23.5m×23.5m,200m,17.7.12.,20.2.26,"주,야간 시계비행"
LT_P_AISHCSTRIP.8,Point,128.685833333,35.8258333329999,POINT(128.685833333 35.8258333329999),128.685833332999891,35.825833332999935,"128° 41' 9.000"" E","35° 49' 33.000"" N",부항청,사용,대구종합경기장 육상헬기장,대구광역시 수성구 대흥동 504번지 대구월드컵경기장관리소장,육상,135.14,1000,7:1∼8:1,2:1 1:1,25×25,25×25,200,1999-10-02,2002-02-01,주간시계비행
LT_P_AISHCSTRIP.80,Point,127.590620639,35.718338278,POINT(127.590620639 35.718338278),127.590620638999894,35.718338277999976,"127° 35' 26.234"" E","35° 43' 6.018"" N",서항청,사용,전라북도 소방안전타운 육상헬기장,전라북도 장수군 계남면 호덕리 산14-2번지 일원,공용,392.3m,1000,1:8,1:2,37m×37m,20m×20m,200m,20.1.17.,23.5.2.,"주,야간 시계비행"
LT_P_AISHCSTRIP.81,Point,128.952418533,37.7624162999999,POINT(128.952418533 37.7624162999999),128.952418532999900,37.762416299999927,"128° 57' 8.707"" E","37° 45' 44.699"" N",서항청,사용,환동해특수재난대응단 육상헬기장,강원특별자치도 강릉시 남항진동 산7번지 일원,공용,3.5m,1000,1:8,1:2,43.5m×43.5m,23.5m×23.5m,200m,22.06.03.,24.2.29.,"주,야간 시계비행"
LT_P_AISHCSTRIP.82,Point,127.028672222,36.7955638889999,POINT(127.028672222 36.7955638889999),127.028672221999955,36.795563888999936,"127° 1' 43.220"" E","36° 47' 44.030"" N",서항청,사용,아산디스플레이시티 산업단지 육상헬기장,충청남도 아산시 권곡동 4-2번지 일원,사설,10.8m,1000,1:8,1:2,40.0m×40.0m,20m×20m,200m,24.01.12.,24.7.3.,주간 시계비행
LT_P_AISHCSTRIP.83,Point,127.086830556,37.225130556,POINT(127.086830556 37.225130556),127.086830555999882,37.225130555999954,"127° 5' 12.590"" E","37° 13' 30.470"" N",서항청,사용,삼성디스플레이 기흥캠퍼스 옥상헬기장,경기도 용인시 기흥구 농서동 188-2번지 일원,사설,149.3m,1000,1:8,1:2,31.6m×31.6m,17.2m×17.2m,200m,22.11.28.,24.7.15.,주간 시계비행
LT_P_AISHCSTRIP.84,Point,126.794380556,36.5137583329999,POINT(126.794380556 36.5137583329999),126.794380555999965,36.513758332999942,"126° 47' 39.770"" E","36° 30' 49.530"" N",서항청,사용,충청남도 소방복합시설,충청남도 청양군 비봉면 록평리 132-3번지 일원,공용,45.0m,1000,1:8,1:2,42.0m×42.0m,23.0m×23.0m,200m,20.7.17.,24.8.19.,"주,야간 시계비행"
LT_P_AISHCSTRIP.85,Point,127.135917729,36.8033190319999,POINT(127.135917729 36.8033190319999),127.135917728999971,36.803319031999933,"127° 8' 9.304"" E","36° 48' 11.949"" N",서항청,사용,순천향대 부속 천안병원 옥상헬기장,충청남도 천안시 동남구 순천향6길 31,사설,136.9m,1000,1:8,1:2,27.2m×27.2m,15.0m×15.0m,200m,23.08.28.,24.12.9.,"주,야간 시계비행"
LT_P_AISHCSTRIP.86,Point,127.541825,37.8388833329999,POINT(127.541825 37.8388833329999),127.541824999999903,37.838883332999956,"127° 32' 30.570"" E","37° 50' 19.980"" N",서항청,사용,춘천 한화 프리미엄 빌리지 육상헬기장,강원도 춘천ㅅ 남산면 서천리 산141-4번지 일원,사설,116.5m,1000,1:8,1:2,35.2m×35.2m,19.2m×19.2m,200m,25.01.07.,25.3.28.,"주,야간 시계비행"
LT_P_AISHCSTRIP.87,Point,128.950833333,37.7622222219999,POINT(128.950833333 37.7622222219999),128.950833332999991,37.762222221999934,"128° 57' 3.000"" E","37° 45' 44.000"" N",서항청,사용,강릉산림항공 관리소헬기장,강원도 강릉시 남항진동 산7-4번지,국가 기관,40m,"1,000m",1:8,1:2,155m×100m,155m×100m,200,99.12.27 (산림청),01.11.26,"주,야간 시계비행"
LT_P_AISHCSTRIP.88,Point,127.10232967,35.9541709819999,POINT(127.10232967 35.9541709819999),127.102329669999904,35.954170981999937,"127° 6' 8.387"" E","35° 57' 15.016"" N",서항청,사용,익산산림항공 관리소헬기장,전북 익산시 왕궁면 우주로 433-9,국가 기관,40m,"1,000m",1:8,1:2,120m×91m,120m×91m,200,95.12.27 (산림청),97.6.26,주간 시계비행
LT_P_AISHCSTRIP.89,Point,127.119901132,37.124384571,POINT(127.119901132 37.124384571),127.119901131999882,37.124384570999950,"127° 7' 11.644"" E","37° 7' 27.784"" N",서항청,사용,경기도 소방 항공대헬기장,경기도 용인시 처인구 남사면 봉명리 646-2,국가 기관,75m,"1,000m",1:8,1:2,120m×60m,120m×60m,200,97.06.02 (경기도),99.5.20,"주,야간 시계비행"
LT_P_AISHCSTRIP.9,Point,127.736073268,34.9320975479999,POINT(127.736073268 34.9320975479999),127.736073267999927,34.932097547999945,"127° 44' 9.864"" E","34° 55' 55.551"" N",부항청,사용,포스코 광양제철소 육상 헬기장,전남 광양시 금호동 700번지,육상,5.5,1000,8:1,2:1,25×25,25×25,200,2002-02-01,2002-03-15,주.야간시계비행
LT_P_AISHCSTRIP.90,Point,128.651510552,38.068527064,POINT(128.651510552 38.068527064),128.651510551999991,38.068527063999966,"128° 39' 5.438"" E","38° 4' 6.697"" N",서항청,사용,강원 소방항 공대 헬기장,강원도 양양군 손양면 학포리 산53번지,국가 기관,33m,1000,1:8,1:2,57m×50m,20m×20m,200,04.05.04 (강원도),04.5.4,"주,야간 시계비행"
LT_P_AISHCSTRIP.91,Point,126.595277778,33.4316666669999,POINT(126.595277778 33.4316666669999),126.595277777999968,33.431666666999945,"126° 35' 43.000"" E","33° 25' 54.000"" N",제항청,사용,제주삼림 항공관리사무소,제주시 용강동 산14-1,,569.0m,,,,35.0×35.0m,,,2017.11.6,2017.11.10,시계비행
LT_P_AISHCSTRIP.92,Point,126.544444444,33.4675,POINT(126.544444444 33.4675),126.544444443999964,33.467499999999973,"126° 32' 40.000"" E","33° 28' 3.000"" N",제항청,사용,제주대학병원,제주시 아란13길 15,,214.7m,,,,27.2×27.2m,,,2013.11.29,2014.12.22,시계비행
LT_P_AISHCSTRIP.93,Point,126.484722222,33.489722222,POINT(126.484722222 33.489722222),126.484722221999959,33.489722221999955,"126° 29' 5.000"" E","33° 29' 23.000"" N",제항청,사용,제주한라병원,제주시 도령로 65,,106.5m,,,,18.24×15m,,,2011.11.25,2011.11.26,시계비행
